Entry,Positiv,Negativ,Strong,Power
a,0,0,0,0
abandon,0,Negativ,0,0
abandonment,0,Negativ,0,0
abate,0,Negativ,0,0
abatement,0,0,0,0
abdicate,0,Negativ,0,0
abhor,0,Negativ,0,0
abide,Positiv,0,0,0
ability,Positiv,0,Strong,0
abject,0,Negativ,0,0
able,Positiv,0,Strong,0
abnormal,0,Negativ,0,0
aboard,0,0,0,0
abolish,0,Negativ,Strong,Power
abolition,0,0,0,0
abominable,0,Negativ,Strong,0
abortive,0,0,0,0
abound,Positiv,0,0,0
about,0,0,0,0
about,0,0,0,0
about,0,0,0,0
about,0,0,0,0
about,0,0,0,0
about,0,0,0,0
about,0,0,0,0
above,0,0,0,0
above,0,0,0,0
above,0,0,0,0
above,0,0,0,0
abrasive,0,Negativ,Strong,0
abroad,0,0,0,0
abrupt,0,Negativ,0,0
abscond,0,Negativ,0,0
absence,0,Negativ,0,0
absent,0,Negativ,0,0
absent,0,0,0,0
absentminded,0,Negativ,0,0
absentee,0,Negativ,0,0
absolute,0,0,Strong,0
absolute,0,0,Strong,0
absolve,Positiv,0,0,0
absorb,0,0,0,0
absorb,0,0,0,0
absorbent,Positiv,0,0,0
absorption,Positiv,0,0,0
abstain,0,0,0,0
abstract,0,0,0,0
abstraction,0,0,0,0
absurd,0,Negativ,0,0
absurdity,0,Negativ,0,0
abundance,Positiv,0,Strong,0
abundant,Positiv,0,Strong,0
abuse,0,Negativ,0,0
abuse,0,Negativ,Strong,0
abyss,0,Negativ,0,0
abyssinia,0,0,0,0
academic,0,0,0,0
academy,0,0,0,0
accede,Positiv,0,0,0
accelerate,0,0,Strong,0
acceleration,0,0,Strong,0
accentuate,Positiv,0,0,0
accept,Positiv,0,0,0
acceptable,Positiv,0,0,0
acceptance,Positiv,0,0,0
access,0,0,0,0
accessible,Positiv,0,0,0
accession,Positiv,0,Strong,0
accident,0,Negativ,0,0
accidental,0,0,0,0
acclaim,Positiv,0,0,0
acclamation,Positiv,0,0,0
accolade,Positiv,0,0,0
accommodate,Positiv,0,0,0
accommodation,Positiv,0,0,0
accompaniment,Positiv,0,0,0
accompany,0,0,0,0
accompany,0,0,0,0
accomplish,Positiv,0,Strong,Power
accomplishment,Positiv,0,Strong,Power
accord,0,0,0,0
accord,Positiv,0,0,0
accord,Positiv,0,0,Power
accord,0,0,0,0
accord,Positiv,0,0,0
accordance,Positiv,0,0,0
accost,0,Negativ,0,0
account,0,0,0,0
account,0,0,0,0
account,0,0,0,0
account,0,0,0,0
account,0,0,0,0
account,0,0,0,0
account,0,0,0,0
account,0,0,0,0
accountable,Positiv,0,0,0
accrue,Positiv,0,0,0
accumulate,0,0,0,0
accumulation,0,0,0,0
accuracy,Positiv,0,0,0
accurate,Positiv,0,0,0
accurateness,Positiv,0,0,0
accursed,0,Negativ,0,0
accusation,0,Negativ,0,0
accuse,0,Negativ,0,0
accuse,0,Negativ,0,0
accustom,0,0,0,0
accustom,0,0,0,0
ache,0,Negativ,0,0
achieve,Positiv,0,Strong,0
achievement,Positiv,0,0,Power
acknowledge,0,0,0,0
acknowledgement,Positiv,0,0,0
acknowledgment,0,0,0,0
acquaint,Positiv,0,0,0
acquaintance,Positiv,0,0,0
acquire,0,0,Strong,0
acquire,0,0,Strong,0
acquisition,0,0,Strong,0
acquit,Positiv,0,0,0
acquittal,Positiv,0,0,0
acre,0,0,0,0
acrimonious,0,Negativ,0,0
acrimony,0,Negativ,0,0
across,0,0,0,0
across,0,0,0,0
across,0,0,0,0
across,0,0,0,0
