Entry,Positiv,Negativ,Hostile,Strong,Power
A,,,,,
ABANDON,,Negativ,,,
ABANDONMENT,,Negativ,,,
ABATE,,Negativ,,,
ABATEMENT,,,,,
ABDICATE,,Negativ,,,
ABHOR,,Negativ,Hostile,,
ABIDE,Positiv,,,,
ABILITY,Positiv,,,Strong,
ABJECT,,Negativ,,,
ABLE,Positiv,,,Strong,
ABNORMAL,,Negativ,,,
ABOARD,,,,,
ABOLISH,,Negativ,Hostile,Strong,Power
ABOLITION,,,,,
ABOMINABLE,,Negativ,,Strong,
ABORTIVE,,,,,
ABOUND,Positiv,,,,
ABOUT,,,,,
ABOUT,,,,,
ABOUT,,,,,
ABOUT,,,,,
ABOUT,,,,,
ABOUT,,,,,
ABOUT,,,,,
ABOVE,,,,,
ABOVE,,,,,
ABOVE,,,,,
ABOVE,,,,,
ABRASIVE,,Negativ,Hostile,Strong,
ABROAD,,,,,
ABRUPT,,Negativ,,,
ABSCOND,,Negativ,Hostile,,
ABSENCE,,Negativ,,,
ABSENT,,Negativ,,,
ABSENT,,,,,
ABSENT-MINDED,,Negativ,,,
ABSENTEE,,Negativ,Hostile,,
ABSOLUTE,,,,Strong,
ABSOLUTE,,,,Strong,
ABSOLVE,Positiv,,,,
ABSORB,,,,,
ABSORB,,,,,
ABSORBENT,Positiv,,,,
ABSORPTION,Positiv,,,,
ABSTAIN,,,,,
ABSTRACT,,,,,
ABSTRACTION,,,,,
ABSURD,,Negativ,,,
ABSURDITY,,Negativ,,,
ABUNDANCE,Positiv,,,Strong,
ABUNDANT,Positiv,,,Strong,
ABUSE,,Negativ,Hostile,,
ABUSE,,Negativ,Hostile,Strong,
ABYSS,,Negativ,,,
ABYSSINIA,,,,,
ACADEMIC,,,,,
ACADEMY,,,,,
ACCEDE,Positiv,,,,
ACCELERATE,,,,Strong,
ACCELERATION,,,,Strong,
ACCENTUATE,Positiv,,,,
ACCEPT,Positiv,,,,
ACCEPTABLE,Positiv,,,,
ACCEPTANCE,Positiv,,,,
ACCESS,,,,,
ACCESSIBLE,Positiv,,,,
ACCESSION,Positiv,,,Strong,
ACCIDENT,,Negativ,,,
ACCIDENTAL,,,,,
ACCLAIM,Positiv,,,,
ACCLAMATION,Positiv,,,,
ACCOLADE,Positiv,,,,
ACCOMMODATE,Positiv,,,,
ACCOMMODATION,Positiv,,,,
ACCOMPANIMENT,Positiv,,,,
ACCOMPANY,,,,,
ACCOMPANY,,,,,
ACCOMPLISH,Positiv,,,Strong,Power
ACCOMPLISHMENT,Positiv,,,Strong,Power
ACCORD,,,,,
ACCORD,Positiv,,,,
ACCORD,Positiv,,,,Power
ACCORD,,,,,
ACCORD,Positiv,,,,
ACCORDANCE,Positiv,,,,
ACCOST,,Negativ,Hostile,,
ACCOUNT,,,,,
ACCOUNT,,,,,
ACCOUNT,,,,,
ACCOUNT,,,,,
ACCOUNT,,,,,
ACCOUNT,,,,,
ACCOUNT,,,,,
ACCOUNT8,,,,,
ACCOUNTABLE,Positiv,,,,
ACCRUE,Positiv,,,,
ACCUMULATE,,,,,
ACCUMULATION,,,,,
ACCURACY,Positiv,,,,
ACCURATE,Positiv,,,,
ACCURATENESS,Positiv,,,,
ACCURSED,,Negativ,Hostile,,
ACCUSATION,,Negativ,Hostile,,
ACCUSE,,Negativ,Hostile,,
ACCUSE,,Negativ,Hostile,,
ACCUSTOM,,,,,
ACCUSTOM,,,,,
ACHE,,Negativ,,,
ACHIEVE,Positiv,,,Strong,
ACHIEVEMENT,Positiv,,,,Power
ACKNOWLEDGE,,,,,
ACKNOWLEDGEMENT,Positiv,,,,
ACKNOWLEDGMENT,,,,,
ACQUAINT,Positiv,,,,
ACQUAINTANCE,Positiv,,,,
ACQUIRE,,,,Strong,
ACQUIRE,,,,Strong,
ACQUISITION,,,,Strong,
ACQUIT,Positiv,,,,
ACQUITTAL,Positiv,,,,
ACRE,,,,,
ACRIMONIOUS,,Negativ,Hostile,,
ACRIMONY,,Negativ,Hostile,,
ACROSS,,,,,
ACROSS,,,,,
ACROSS,,,,,
ACROSS,,,,,
ACROSS,,,,,
ACT,,,,Strong,
ACT,,,,Strong,
ACT,,,,Strong,
ACT,,,Hostile,,
ACTION,,,,Strong,
ACTIVE,,,,Strong,
ACTIVE,,,,,
ACTIVITY,,,,,
ACTOR,,,,,
ACTUAL,Positiv,,,,
ACTUAL,Positiv,,,,
ACTUALITY,Positiv,,,,
ACUTE,,,,,
ADAMANT,Positiv,,,Strong,
ADAPT,,,,Strong,
ADAPTABILITY,Positiv,,,Strong,
ADAPTABLE,Positiv,,,Strong,
ADAPTATION,Positiv,,,Strong,
ADAPTIVE,Positiv,,,Strong,
ADD,,,,Strong,
ADD,,,,,
ADDICT,,Negativ,,,
ADDICTION,,Negativ,,,
ADDITION,,,,,
ADDITION,,,,Strong,
ADDITIONAL,,,,Strong,
ADDRESS,,,,,
ADDRESS,,,,,
ADDRESS,,,,,
ADEN,,,,,
ADEPT,Positiv,,,Strong,
ADEPTNESS,Positiv,,,Strong,
ADEQUATE,Positiv,,,,
ADHERE,,,,,
ADHERENCE,Positiv,,,,
ADHERENT,Positiv,,,,
ADHESION,Positiv,,,,
ADHESIVE,Positiv,,,,
ADJACENT,,,,,
ADJOIN,,,,,
ADJOURNMENT,,,,,
ADJUDICATION,,,,,Power
ADJUNCT,Positiv,,,,
ADJUST,,,,Strong,
ADJUST,Positiv,,,,
ADJUSTABLE,Positiv,,,,
ADJUSTMENT,Positiv,,,,
ADMINISTER,,,,Strong,Power
ADMINISTRATION,,,,Strong,Power
ADMINISTRATION,,,,Strong,Power
ADMINISTRATIVE,,,,Strong,Power
ADMINISTRATOR,,,,Strong,Power
ADMIRABLE,Positiv,,,,
ADMIRAL,,,,,
ADMIRAL,,,,,
ADMIRATION,Positiv,,,Strong,
ADMIRE,Positiv,,,,
ADMIRER,Positiv,,,Strong,
ADMISSIBLE,,,,,
ADMISSION,,,,,
ADMIT,Positiv,,,,
ADMIT,Positiv,,,,Power
ADMIT,Positiv,,,,
ADMITTANCE,Positiv,,,,
ADMONISH,,Negativ,Hostile,Strong,Power
ADMONITION,,Negativ,,,
ADOLESCENT,,,,,
ADOPT,,,,,
ADOPT,,,,,
ADOPTION,,,,,
ADORABLE,Positiv,,,,
ADORE,Positiv,,,,
ADORN,Positiv,,,Strong,
ADORNMENT,Positiv,,,,
ADROIT,Positiv,,,Strong,
ADROITLY,Positiv,,,Strong,
ADULATION,Positiv,,,Strong,
ADULT,,,,Strong,
ADULT,Positiv,,,Strong,
ADULTERATE,,Negativ,,,
ADULTERATION,,Negativ,,,
ADULTERY,,Negativ,,,
ADVANCE,Positiv,,,Strong,
ADVANCE,Positiv,,,Strong,
ADVANCE,Positiv,,,,
ADVANCE,,,,,
ADVANCEMENT,Positiv,,,,
ADVANTAGE,Positiv,,,Strong,
ADVANTAGEOUS,Positiv,,,Strong,
ADVENT,Positiv,,,,
ADVENTURE,,,,,
ADVENTURESOME,Positiv,,,Strong,
ADVENTUROUS,Positiv,,,Strong,
ADVERSARY,,Negativ,Hostile,,
ADVERSE,,Negativ,,,
ADVERSITY,,Negativ,,,
ADVICE,,,,,
ADVISABLE,Positiv,,,,
ADVISE,,,,,
ADVISER,,,,,Power
ADVISOR,,,,,Power
ADVISORY,,,,,
ADVOCACY,Positiv,,,,
ADVOCATE,,,,Strong,
ADVOCATE,,,,Strong,Power
AESTHETIC,,,,,
AFFABILITY,Positiv,,,,
AFFABLE,Positiv,,,,
AFFAIR,,,,,
AFFAIR,,,,,
AFFAIR,,,,,
AFFECT,,,,,
AFFECTATION,,Negativ,,,
AFFECTION,Positiv,,,,
AFFECTIONATE,Positiv,,,,
AFFILIATE,Positiv,,,,
AFFILIATION,Positiv,,,,
AFFINITY,Positiv,,,Strong,
AFFIRM,Positiv,,,Strong,Power
AFFIRMANCE,,,,,
AFFIRMATION,Positiv,,,,
AFFIRMATIVE,Positiv,,,,
AFFIX,Positiv,,,,
AFFLICT,,Negativ,Hostile,Strong,
AFFLICTION,,Negativ,,,
AFFLUENCE,Positiv,,,,
AFFLUENT,Positiv,,,,
AFFORD,,,,Strong,
AFFORD,,,,Strong,Power
AFGHANISTAN,,,,,
AFLOAT,Positiv,,,Strong,
AFRAID,,,,,
AFRAID,,Negativ,,,
AFRICA,,,,,
AFRICAN,,,,,
AFTER,,,,,
AFTER,,,,,
AFTER,,,,,
AFTERNOON,,,,,
AFTERWARD,,,,,
AGAIN,,,,,
AGAIN,,,,,
AGAIN,,,,,
AGAINST,,Negativ,,,
AGE,,,,,
AGE,,,,,
AGE,,,,,
AGE,,,,,
AGENCY,,,,,Power
AGENT,,,,,
AGGRAVATE,,Negativ,Hostile,Strong,
AGGRAVATION,,Negativ,Hostile,Strong,
AGGREGATE,Positiv,,,,
AGGREGATION,Positiv,,,,
AGGRESSION,,Negativ,Hostile,Strong,
AGGRESSIVE,,Negativ,Hostile,Strong,
AGGRESSIVENESS,,Negativ,Hostile,Strong,
AGGRESSOR,,Negativ,Hostile,,
AGGRIEVE,,Negativ,Hostile,,
AGHAST,,Negativ,,,
AGILE,Positiv,,,Strong,
AGILITY,Positiv,,,Strong,
AGITATE,,Negativ,,Strong,
AGITATION,,Negativ,,Strong,
AGITATOR,,Negativ,Hostile,,
AGO,,,,,
